filter_name;lab;shelf;name_en;name_it;weight;unit;producer;quantity;code;cas;sds;sds_link
D;1.12;4;2,6-DIBROMO-N-CHLORO-p-BENZOQUINONEIMINE;;5;g;ACROS ORGANICS;1;;537-45-1;https://assets.thermofisher.com/DirectWebViewer/private/document.aspx?prd=ACR40647~~PDF~~MTR~~CLP1~~EN~~2020-12-21%2023:02:15~~2%206-Dibromo-N-chloro-p-benzoquinoneimine~~;[SDS](https://assets.thermofisher.com/DirectWebViewer/private/document.aspx?prd=ACR40647~~PDF~~MTR~~CLP1~~EN~~2020-12-21%2023:02:15~~2%206-Dibromo-N-chloro-p-benzoquinoneimine~~)
D;1.12;4;2,6-DICHLOROINDOPHENOL SODIUM SALT HYDRATE;;5;g;SIGMA ALDRICH;3;D1878-5G;1266615-56-8 ;https://www.sigmaaldrich.com/IT/en/sds/sigma/d1878;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigma/d1878)
D;1.12;4;3,5 DINITRO SALICYLIC ACID 98%;;5;g;SIGMA ALDRICH;1;128848;;https://www.sigmaaldrich.com/IT/en/sds/aldrich/128848;[SDS](https://www.sigmaaldrich.com/IT/en/sds/aldrich/128848)
D;1.12;4;DINITROSALICYLIC ACID;;100;g;SIGMA-ALDRICH;1;D0550-100G;;https://www.sigmaaldrich.com/IT/en/sds/sigma/d0550;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigma/d0550)
N;1.12;4;4-NITROPHENOL;4-NITROFENOLO;250;g;FLUKA;1;73560-25G;100-02-7;https://www.sigmaaldrich.com/IT/en/sds/aldrich/241326;[SDS](https://www.sigmaaldrich.com/IT/en/sds/aldrich/241326)
D;1.12;4;4,6-DIHYDROXY-2-MERCAPTOPYRIMIDINE;;25;g;Alfa Aesar;1;A12681;504-17-6;https://www.alfa.com/it/msds/?language=EE&subformat=CLP1&sku=A12681;[SDS](https://www.alfa.com/it/msds/?language=EE&subformat=CLP1&sku=A12681)
D;1.12;4;5,5-DITHIOBIS(2-NITROBENZOIC ACID);ACIDO 5,5-DITIOBIS 2-NITROBENZOICO;5;g;SIGMA-ALDRICH;1;D218200-5G;69-78-3;https://www.sigmaaldrich.com/IT/en/sds/aldrich/d218200;[SDS](https://www.sigmaaldrich.com/IT/en/sds/aldrich/d218200)
A;1.12;4;ACETYLSALICYLIC ACID;ACIDO ACETILSALICILICO;500;g;SIGMA-ALDRICH;1;A5376-500G;50-78-2;https://www.sigmaaldrich.com/IT/en/sds/sigma/a5376;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigma/a5376)
A;1.12;4;ALLURA RED;ALLURA RED;100;g;SIGMA-ALDRICH;1;458848-100G;25956-17-6;https://www.sigmaaldrich.com/IT/en/sds/sial/458848;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/458848)
A;1.12;4;ASCORBIC ACID;ACIDO ASCORBICO;500;g;SIGMA-ALDRICH;2;A92902;50-81-7;https://www.sigmaaldrich.com/IT/en/sds/sial/a92902;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/a92902)
